"ID","Language","Concept","Definition","See","See also","Source","Input/Edit"
,"Korean","서지적으로 중요한","서지자원의 맥락에서 특별한 의미나 가치를 갖는 개체나 속성, 관계의 질",,,,20090805
,"Latvian","Bibliogrāfiski nozīmīgs","entītijas, atribūta vai attiecības īpašība, kurai ir īpaša nozīme vai vērtība bibliogrāfisko resursu kontekstā.",,,,20090813
,"Lithuanian","Bibliografiškai svarbus","entiteto arba atributo, arba santykio rūšis, kuri turi ypatingą reikšmę ar svarbą bibliografinių išteklių kontekste.",,,,20100809
,"Polish","Elementy bibliograficznie znaczące","cecha jednostki, atrybut lub relacja, która ma szczególne znaczenie lub wartość w kontekście zasobów
bibliograficznych.",,,,20100809
,"Portuguese","Bibliograficamente significativo","Qualidade de uma entidade, atributo ou relação que possui  significado ou valor especial no contexto de recursos bibliográficos.",,,,20090812
,"Russian","Библиографически значимый ","свойство объекта, или атрибута, или связи, которое имеет особое значение или          ценность в контексте библиографических ресурсов.          
",,,,20090805
,"Slovak","Bibliograficky významný","kvalita entity alebo atribútu alebo vzťahu, ktorá má špeciálny význam alebo hodnotu v kontexte bibliografického zdroja.",,,,20090805
,"Slovene","Bibliografsko pomemben","lastnost entitete, atributa ali odnosa, ki ima v kontekstu bibliografskih virov poseben pomen ali vrednost.",,,,20090813
,"Spanish","Bibliograficamente significativo","Una cualidad de una entidad, atributo o relación que tiene un significado especial o alto valor en el contexto de los recursos bibliográficos.",,,,20090805
,"Swedish","Bibliografiskt signifikant","En egenskap hos en entitet, attribut eller relation som har en särskild mening eller är särskilt värdefull då det rör sig om bibliografiska resurser.",,,,20090813
,"Thai","ตำแหน่งที่ตั้ง","คุณภาพของเอนทิตีหรือแอททริบิวท์ หรือความสัมพันธ์ที่มีความหมายหรือคุณค่าพิเศษในบริบทของทรัพยากรทางบรรณานุกรม",,,,20090805
,"Vietnamese","Giá trị thư mục","Đặc tính của thực thể, một vật hay mối quan hệ có ý nghĩa hay giá trị đặng biệt trong ngữ cảnh của nguồn thư mục.",,,,20090813
,,,,,,,
,"English","Carrier type","A designation that reflects the format of the storage medium and housing of a carrier in combination with the type of intermediation device required to view, play, run, etc., the content of a resource. Carrier type reflects attributes of a manifestation.",,,"modified from Jan. 2008 Glossary for RDA",20090805
,"Albanian","Tipi i bartësit","Përcaktim që pasqyron formatin e mjedisit depozitues dhe ruajtës të një bartësi, të kombinuar me tipin e pajisjes ndërmjetëse që duhet për ta parë, interpretuar, dëgjuar etj., përmbajtjen e burimit. Tipi i bartësit pasqyron atributet e një manifestimi.",,,"modifikuar nga RDA Glossary, janar 2008",20090812
,"Arabic","نوع الناقل","هو تحديد يعكس شكل وسيط التخزين واستضافة ناقل بالإضافة إلى شكل الجهاز الوسيط الذي يستخدم لرؤية، عرض، تشغيل، الخ محتوى المصدر. نوع الناقل يعكس خصائص الإظهار.",,,,20090805
,"Bulgarian","Вид на носителя","Означение за формáта на средството за съхраняване на информация и обвивката на носителя в съчетание с вида на възпроизвеждащото устройство, необходимо за да се прегледа, просвири, пусне в действие и т.н. съдържанието на ресурса. Видът на носителя отразява атрибутите на определена форма на физическо представяне.",,,"Речник на RDA към януари 2008 с изменения",20100809
,"Catalan","Tipus de suport","Designació que reflecteix el format del mitjà d’emmagatzematge i d’allotjament d’un suport en combinació amb el tipus de dispositiu intermediari requerit per visualitzar, posar en marxa, fer funcionar, etc., el contingut d’un recurs. El tipus de suport reflecteix atributs d’una manifestació.",,,"Glossari de RDA, modificat el gener de 2008",20100809
,"Chinese","载体类型","反映载体的存储介质与安置的格式，并与对资源内容进行观看、放送、运行等所需的中介设备类型相结合的一种标识。载体类型反映载体表现的属性。",,,"据RDA 2008年1月的词汇表修改",20090805
,"Croatian","Vrsta nositelja","Oznaka formata medija za pohranu i spremnicu nositelja u kombinaciji s vrstom posrednog pomagala neophodnog za pregledavanje, prikazivanje, izvođenje itd. sadržaja jedinica. Vrsta nositelja odražava atribute pojavnog oblika.",,,"prerađeno iz Jan. 2008 Glossary RDA-a",20090812
,"Czech","Typ nosiče","označení vystihující formát paměťového média a jeho nosiče v kombinaci s typem zařízení, které je potřebné pro zprostředkování (zobrazení, přehrání, spuštění atd.) obsahu zdroje. Typ nosiče reflektuje atributy provedení.",,,"upraveno z Glossary for RDA, leden 2008",20090812
,"Finnish","Tallennetyyppi","Nimitys, joka kuvaa tietovälineen ulkomuotoa ja asua sekä laitetta, joka mahdollisesti tarvitaan resurssin sisällön tarkastelemiseksi, esittämiseksi, käynnistämiseksi jne. Tallennetyyppi heijastaa manifestaation attribuutteja.",,,"muunneltu tammikuussa 2008 RDAn sanastosta",20100809
,"French","Support (Type de)","Appellation rendant compte de la présentation matérielle du support de stockage et de son conteneur, en combinaison avec le type de dispositif de médiation nécessaire pour visionner, activer, faire fonctionner, etc., le contenu d'une ressource. Le type de support rend compte des attributs d'une manifestation.",,,"Glossaire de RDA, version de janvier 2008, modifiée",20090805
,"German","Art des Trägers","Eine Bezeichnung, welche das Format des Speichermediums und des Behältnisses eines Trägers [housing of a carrier] widerspiegelt, in Verbindung mit der Angabe, welches Wiedergabegerät benötigt wird, um den Inhalt der Ressource betrachten, abspielen, ausführen etc. zu können. Die Art des Trägers spiegelt die Merkmale einer Manifestation wider.",,,"modifiziert aus RDA-Glossar, Stand Jan. 2008",20090812
,"Italian","Tipo di supporto","Designazione che rispecchia il formato del mezzo di archiviazione e la custodia del supporto insieme con il tipo di apparecchiatura richiesta per vedere, ascoltare, scorrere, ecc. il contenuto di una risorsa. Il tipo di supporto rispecchia gli attributi di una manifestazione.",,,"modificata dal Glossario RDA, gennaio 2008",20090812
,"Japanese","キャリア種別","資料の内容を見る、再生する、作動させる等のために必要とする媒介装置の種別と組み合わせて、格納する媒体の形式およびキャリアの収納方法を示す表示。キャリア種別は体現形の属性を示す。　　",,,"RDAの2008年1月の用語集からの修正",20090805
,"Korean","수록매체 유형","자원의 내용을 보고, 재생하고, 작동하는 데 필요한 중개 장치의 종류와 결합하여 저장매체와 매체가 수록된 외장 형식을 나타내는 명칭. 수록매체의 유형은 구현형의 속성을 반영한다.",,,"RDA 용어집, 2008년 1월 판의 수정",20090805
,"Latvian","Datu nesēja veids","apzīmējums, kas atspoguļo glabāšanas datneša/medija un tā ietvara/apvalka formātu apvienojumā ar resursa satura apskatīšanai, atskaņošanai, demonstrēšanai u.tml. nepieciešamo ierīci. Datu nesēja veids atspoguļo manifestācijas atribūtus.",,,"RDA Skaidrojošās vārdnīcas 2008. g. janvārī pieejamās versijas modificēta forma",20090813
,"Lithuanian","Laikmenos rūšis","apibūdinimas, atspindintis informacijos laikymo formatą ir
laikmenos fizinę formą, suderintą su tarpininkaujančio įtaiso, reikalingo ištekliaus turiniui peržiūrėti, atkurti, paleisti ir t. t., rūšimi. Laikmenos rūšis atspindi apraiškos atributus.",,,"pakeitimas iš 2008 m. sausio mėn. RDA žodyno",20100809
,"Polish","Typ nośnika","oznaczenie, które odzwierciedla format nośnika danych i obudowę nośnika w połączeniu z typem urządzeń pośrednich koniecznych do obejrzenia, odtworzenia, uruchomienia itd. zawartości dokumentu. Typ nośnika
odzwierciedla atrybuty materializacji.",,,"poprawione w Glossary for RDA styczeń 2008",20100809
,"Portuguese","Tipo de suporte","Designação que reflete o formato do meio de armazenamento e acondicionamento de um suporte em combinação com o tipo de mecanismo de intermediação necessário para visualizar, tocar, fazer funcionar, etc., o conteúdo de um recurso. O tipo de suporte reflete atributos de uma manifestação.",,,"Glossary for RDA, Jan. 2008, modificado",20090812
,"Russian","Тип носителя","обозначение, отражающее формат хранения средства и размещения носителя в сочетании с  типом воспроизводящего устройства, необходимого, чтобы просмотреть, проиграть, запустить, и т.п. содержание ресурса. Тип носителя отражает атрибуты воплощения.",,,"Словарь RDA от января 2008 г. (видоизмененный)",20090805
,"Slovak","Typ nosiča","označenie vystihujúce formát pamäťového média a jeho nosiča v kombinácii s typom zariadenia, ktoré je potrebné na sprostredkovanie (zobrazenie, prehranie, spustenie atď.) obsahu zdroja. Typ nosiča reflektuje atribúty prezentácie.",,,"upravené z Heslára pre RDA, január 2008",20090805
